LID	Language	Stock	SlotArray	Atr	P
1414	Tirmaga	Surmic	-1,1,2,3IPFV,3PFV	1,0,0,3,7	0,0,4,0,0
1105	Chortí	Mayan	-1,1,2	5,0,1	0,5,0
572	Nahuatl (Tetelcingo)	Uto-Aztecan	-1,1,2	3,0,1	0,6,0
1660	Itzaj	Mayan	-1,1,2,3,3COMPL,3INCOMPL,4	4,0,0,0,0,0,1	0,0,0,0,6,6,0
1691	Juang	Austroasiatic	-1,0,1	5,1,2	0,0,6
1413	Chai	Surmic	-1,1,1IPFV,1PFV,2	1,0,3,4,0	0,0,0,0,3
2641	Turkana	Nilotic	-1,-2,1	4,0,1	3,1,0
22	Anêm	West New Britain	-1,1	6,0	0,7
678	Bulgarian	Indo-European	-1,1	0,6	1,0
956	Nahuatl (Sierra de Zacapoaxtla)	Uto-Aztecan	-1,-2,1	0,3,1	6,0,0
299	Nandi	Nilotic	-1NSNPST,-1SNPST,1	5,4,0	0,0,4
2869	Yagaria	Eastern Highlands	-1,1,2	0,0,7	8,0,0
2862	Chintang	Sino-Tibetan	-1,1,10,11,12,2,3,4,5,6,7,8,9	3,0,1,0,1,1,0,0,0,2,0,0,1	3,0,0,1,0,2,0,0,0,2,0,1,0
1954	Menya	Angan	-1,1	0,7	7,0
1645	Anamuxra	Madang	-1,1,2,3	0,0,0,9	9,0,0,0
2997	Reyesano	Pano-Tacanan	-1,-2,1	0,4,1	0,4,0
1136	Chontal Maya	Mayan	-1,1,2,3,4	3,0,0,1,3	0,0,0,2,3
2996	Yakkha	Sino-Tibetan	-1,1,10,11,12,2,3,4,5,6,7,8,9	1,1,1,0,0,1,0,1,0,0,0,1,1	0,1,1,0,0,1,0,1,1,0,1,0,1
637	Yamphu	Sino-Tibetan	1,2,3,4,5,6,7,8,9	0,2,0,3,0,1,2,1,1	0,2,0,3,1,1,2,1,1
1439	Dumi	Sino-Tibetan	-1,1,2,3,4	1,0,6,0,2	1,0,6,0,2
12	Ainu	Ainu	-1,-2,1	0,4,0	2,2,0
2882	Berber (Kabyle)	Berber	-1,1,2	3,4,1	0,0,6
3007	Bahing	Sino-Tibetan	1,2,3,4,5,6	1,0,9,1,1,0	1,2,5,1,0,2
2873	Bantawa	Sino-Tibetan	-1,1,2,3,4,5,6,7,8,9	4,0,0,2,0,0,2,0,0,1	0,0,2,3,1,0,0,1,0,1
2998	Jero	Sino-Tibetan	1,2,3	5,3,1	2,1,1
885	Amuesha	Arawakan	-1,1,2	4,1,0	0,0,6
923	Arapaho	Algic	1,1a,1b,2,3	0,3,1,8,2	0,4,1,8,2
3062	Iyo	Finisterre-Huon	-1,1,2,3,4	0,0,0,0,5	3,1,0,0,0
2172	Nganasan	Uralic	1,2	0,9	2,0
3068	Emerillon	Tupian	-1,-2	0,6	1,5
871	Araki	Austronesian	-1,1	7,0	0,1
2251	Olo	Torricelli	-1,0,1	7,0,0	0,1,4
667	Thulung (Mukli)	Sino-Tibetan	1,2,3,4,5,6	2,0,4,1,1,1	4,0,3,1,1,1
2548	Teso	Nilotic	-1,-2,1	5,0,1	3,1,0
2001	Micmac	Algic	1,2,3,4,5	1,1,1,7,3	1,0,3,5,3
3131	Guaraní (Mbyá)	Tupian	-1,-2	0,6	1,6
27	Atakapa	Atakapa	-1,1	0,4	6,0
1063	Baure	Arawakan	-1,1	6,0	0,2
2865	Wambule	Sino-Tibetan	1,2,3	10,2,2	9,2,1
1142	Cheyenne	Algic	-1,1,2,3,4,5,6	3,2,1,1,1,3,2	3,2,1,2,1,3,3
