LID	Language	Stock	Category	SlotsN	Partition	HostCat	Position.binned5	Behavior.binned4
3044	Gurage (Sebat Bet)	Semitic	Aditr	5	[6, 3, 3]	V	post	NA
480	Amanab	Border	Atr	1	[2]	V	prae	NA
111	Ik	Kuliak	S	2	[6]	V	post	NA
59	Cree (Plains)	Algic	Atr	8	[5, 3, 2, 2, 1]	V	prae	NA
518	Brahui	Dravidian	S	2	[6, 5]	V	post	NA
28	Awtuw	Sepik	Atr	9	[1, 1]	V	prae	NA
648	Bororo	Macro-Ge	P	1	[6]	V	prae	NA
632	Hayu	Sino-Tibetan	S	5	[3, 2, 1, 1]	V	post	NA
2251	Olo	Torricelli	Aditr	3	[7]	V	prae	NA
1890	Lithuanian	Indo-European	Atr	1	[4]	V	post	NA
3261	Tapirapé	Tupian	P	1	[5]	V	prae	NA
2951	Karajá	Macro-Ge	S	1	[2]	V	prae	NA
2956	Kõic	Sino-Tibetan	Atr	3	[9, 4, 2]	V	post	NA
1348	Nubian (Kunuz)	Nubian	Atr	7	[4]	V	post	NA
667	Thulung (Mukli)	Sino-Tibetan	S	6	[2, 2, 1, 1, 1]	V	post	NA
9	Acehnese	Austronesian	Atr	3	[5]	V	prae	NA
2548	Teso	Nilotic	P	3	[3, 1]	V	prae	NA
2996	Yakkha	Sino-Tibetan	S	13	[1, 1, 1, 1, 1, 1]	V	post	NA
2335	Provencal	Indo-European	S	1	[5]	V	post	NA
2873	Bantawa	Sino-Tibetan	S	10	[2, 2, 1, 1]	V	prae	NA
1645	Anamuxra	Madang	P	4	[9]	V	prae	NA
54	Choctaw	Muskogean	P	4	[4, 4]	V	prae	NA
393	Usan	Madang	P	1	[6]	V	prae	NA
563	Passamaquoddy	Algic	P	12	[3, 3, 3, 2, 1, 1]	V	post	NA
1775	Kulung	Sino-Tibetan	Atr	5	[2, 2, 1, 1]	V	post	NA
2244	Ojibwa (Eastern)	Algic	P	7	[4, 3, 2, 2, 2]	V	post	NA
54	Choctaw	Muskogean	G	4	[4]	V	prae	NA
2031	Mugil	Madang	S	3	[4, 1]	V	post	NA
3261	Tapirapé	Tupian	Atr	1	[7]	V	prae	NA
648	Bororo	Macro-Ge	T	1	[6]	V	prae	NA
