LID	Language	Stock	Category	SlotsN	Partition	HostCat	Position.binned5	Behavior.binned4
679	Udmurt	Uralic	Atr	2	[6, 5]	V	post	NA
563	Passamaquoddy	Algic	Atr	12	[3, 3, 3, 2, 1, 1]	V	post	NA
27	Atakapa	Atakapa	P	2	[6]	V	prae	NA
25	Armenian (Eastern)	Indo-European	Atr	1	[6]	V	post	NA
388	Tzutujil	Mayan	P	2	[5]	V	prae	NA
2865	Wambule	Sino-Tibetan	P	3	[9, 2, 1]	V	post	NA
1645	Anamuxra	Madang	G	4	[9]	V	prae	NA
12	Ainu	Ainu	S	3	[3, 1]	V	prae	NA
3010	Lohorung	Sino-Tibetan	Atr	7	[3, 2, 2, 1]	V	post	NA
186	Mixtec (Chalcatongo)	Otomanguean	S	1	[4]	V	post	NA
667	Thulung (Mukli)	Sino-Tibetan	P	6	[4, 3, 1, 1, 1]	V	post	NA
571	Tamazight (Ayt Ndhir)	Berber	S	2	[4, 3]	V	prae	NA
2980	Koyi	Sino-Tibetan	S	4	[5, 2, 1]	V	post	NA
1063	Baure	Arawakan	P	2	[2]	V	post	NA
3018	Alaba-K’abeena	Cushitic	S	1	[6]	V	NA	NA
2098	Mursi	Surmic	Atr	3	[5, 1]	V	post	NA
679	Udmurt	Uralic	S	2	[6, 5]	V	post	NA
1036	Blackfoot	Algic	Atr	7	[2, 2, 2, 1, 1, 1]	V	prae	NA
3062	Iyo	Finisterre-Huon	Aditr	5	[5]	V	post	NA
1155	Cakchiquel	Mayan	S	2	[5]	V	prae	NA
3096	Dogon (Nanga)	Dogon	Aditr	2	[5]	V	post	NA
1973	Menomini	Algic	Atr	11	[3, 3, 2, 2, 2, 1, 1]	V	post	NA
908	Athpare	Sino-Tibetan	S	10	[2, 2, 1, 1]	V	prae	NA
885	Amuesha	Arawakan	Aditr	3	[4, 1]	V	prae	NA
1348	Nubian (Kunuz)	Nubian	Aditr	7	[4]	V	post	NA
388	Tzutujil	Mayan	Atr	2	[6]	V	prae	NA
103	Hua	Eastern Highlands	P	3	[6]	V	prae	NA
79	French (colloquial)	Indo-European	Aditr	1	[2]	V	post	NA
2772	Koegu	Surmic	S	2	[2, 2]	V	post	NA
583	Hebrew (Modern)	Semitic	Atr	1	[4]	V	post	NA
322	Oksapmin	Macro-Ok	G	2	[2]	V	prae	NA
322	Oksapmin	Macro-Ok	P	2	[2]	V	prae	NA
885	Amuesha	Arawakan	S	3	[4, 1]	V	prae	NA
1704	Kamaiurá	Tupian	P	1	[8]	V	prae	NA
1348	Nubian (Kunuz)	Nubian	S	7	[4]	V	post	NA
3093	Dogon (Najamba)	Dogon	Aditr	1	[5]	V	post	NA
682	Yucatec	Mayan	Atr	5	[4, 2]	V	prae	NA
79	French (colloquial)	Indo-European	S	1	[2]	V	post	NA
2028	Manambu	Sepik	S	1	[9]	V	post	NA
2628	Tobati	Austronesian	S	2	[4]	V	prae	NA
1010	Binandere	Greater Binanderean	Atr	2	[3]	V	post	NA
3040	Tamashek (Mali)	Berber	Atr	2	[4, 3]	V	prae	NA
2251	Olo	Torricelli	S	3	[7]	V	prae	NA
923	Arapaho	Algic	S	5	[9, 1]	V	post	NA
1105	Chortí	Mayan	S	3	[5, 5, 1]	V	prae	NA
1010	Binandere	Greater Binanderean	S	2	[3]	V	post	NA
632	Hayu	Sino-Tibetan	Atr	5	[3, 2, 1, 1]	V	post	NA
2869	Yagaria	Eastern Highlands	S	3	[7]	V	post	NA
2028	Manambu	Sepik	T	1	[9]	V	post	NA
1763	Khakas	Turkic	S	4	[5]	V	post	NA
103	Hua	Eastern Highlands	G	3	[6]	V	prae	NA
337	Quiche	Mayan	S	2	[5]	V	prae	NA
103	Hua	Eastern Highlands	Atr	3	[3, 3]	V	NA	NA
393	Usan	Madang	G	1	[5]	V	prae	NA
