LID,AUTOTYPLabel,Exponence,Roles,HostCat,Slot,Position.binned5,Behavior.binned4
59,AGR,Number;Person;Role,P;Atr;S,V,5,post,NA
59,AGR,Person;Role,Atr;P;S,V,5,post,NA
59,AGR,Number;Person;Role,P;Atr;S,V,7,post,NA
59,AGR,Number;Person;Role,P;Atr;S,V,7,post,NA
2551,AGR,Person,P;Atr;S,V,-1,prae,NA
2551,AGR,Person,P;S;Atr,V,-1,prae,NA
2551,AGR,Person;Role,P,V,1,post,NA
2551,DIR,Direction,P;Atr,V,2,post,NA
2551,INV,Direction,P;Atr,V,2,post,NA
2551,DIR,Direction,NA,V,2,post,NA
2551,DIR,Direction,NA,V,2,post,NA
2551,DIR,Direction,NA,V,2,post,NA
2551,INV,Direction,NA,V,2,post,NA
2551,AGR,Person;Role,Atr;P;S,V,3,post,NA
2551,AGR,Person,P;Atr;S,V,4,post,NA
2551,AGR,Number;Person,P;Atr;S,V,4,post,NA
2551,AGR,Person,Atr;P;S,V,4,post,NA
2551,AGR,Number;Person,P;Atr;S,V,5,post,NA
2551,AGR,Number;Person,P;Atr;S,V,5,post,NA
2551,AGR,Number;Person,Atr;P;S,V,6,post,NA
2551,AGR,Number;Person,Atr;P;S,V,6,post,NA
2244,AGR,Person,P;S;Atr,V,-1,prae,NA
2244,AGR,Person,S;P;Atr,V,-1,prae,NA
2244,AGR,Person,P;Atr,V,-1,prae,NA
2244,INV,Direction,P;Atr,V,1,post,NA
2244,DIR,Direction,Atr;P,V,1,post,NA
2244,DIR,Direction,NA,V,1,post,NA
2244,DIR,Direction,NA,V,1,post,NA
2244,INV,Direction,NA,V,1,post,NA
2244,AGR,Number;Person,S;Atr;P,V,4,post,NA
2244,AGR,Number;Person,S;P;Atr,V,4,post,NA
2244,AGR,Person,Atr;P;S,V,3,post,NA
2244,AGR,Number;Person,Atr;P,V,4,post,NA
2244,AGR,Gender;Person,Atr;P,V,3,post,NA
2244,AGR,Person;Role,S,V,2,post,NA
2244,AGR,Number;Person,P;Atr,V,4,post,NA
2244,AGR,Number;Person,S;Atr;P,V,6,post,NA
2244,AGR,Number;Person,Atr;S;P,V,6,post,NA
1036,AGR,Person;Role,P;Atr;S,V,-1,prae,NA
1036,AGR,Person;Role,Atr;S;P,V,-1,prae,NA
1036,AGR,Person,NA,V,-1,prae,NA
1036,INV,Direction,NA,V,1,post,NA
1036,DIR,Direction,P;Atr,V,1,post,NA
1036,DIR,Direction,NA,V,1,post,NA
1036,DIR,Direction,NA,V,1,post,NA
1036,DIR,Direction,NA,V,1,post,NA
1036,INV,Person;Voice,P,V,1,post,NA
1036,AGR,Person;Role,P;Atr;S,V,3,post,NA
1036,AGR,Number;Person;Role,Atr;P;S,V,4,post,NA
1036,AGR,Number;Person;Role,P;Atr;S,V,4,post,NA
1036,AGR,Number;Person;Role,P;S;Atr,V,5,post,NA
1036,AGR,Number;Person;Role,P;Atr;S,V,5,post,NA
1036,AGR,Number;Person;Role,S;P;Atr,V,6,post,NA
923,INV,Direction,Atr;P,V,1a,post,NA
923,AGR,Direction,P,V,1a,post,NA
923,AGR,Direction,Atr;P,V,1b,post,NA
923,DIR,Direction,NA,V,1a,post,NA
923,DIR,Direction,NA,V,1a,post,NA
923,INV,Direction,NA,V,1a,post,NA
923,DIR,Direction,NA,V,1a,post,NA
923,INV,Direction,NA,V,1a,post,NA
923,AGR,Number;Person;Role,Atr;P,V,1a,post,NA
923,AGR,Number;Person;Role,P;Atr,V,1a,post,NA
923,AGR,Number;Person;Role,P;S;Atr,V,2,post,NA
923,AGR,Number;Person;Role,S;Atr,V,2,post,NA
923,AGR,Number;Person;Role,P;S;Atr,V,2,post,NA
923,AGR,Number;Person;Role,P;Atr;S,V,2,post,NA
923,AGR,Number;Person;Role,Atr;P;S,V,2,post,NA
923,AGR,Number;Person;Role,P;Atr;S,V,2,post,NA
923,AGR,Number;Person;Role,Atr;P;S,V,2,post,NA
923,AGR,Person;Role,Atr;P;S,V,2,post,NA
923,AGR,Gender;Role,P;S,V,2,post,NA
923,AGR,Number;Person;Role,Atr;S;P,V,3,post,NA
923,AGR,Number;Person;Role,Atr;P,V,3,post,NA
3007,AGR,Number;Person;Role,Atr;P,V,1,post,NA
3007,AGR,Number;Person;Role,P,V,2,post,NA
3007,AGR,Person;Role,P,V,2,post,NA
3007,AGR,Number;Person;Role,S;Atr,V,3,post,NA
3007,AGR,Number;Person;Role,P;S,V,3,post,NA
3007,AGR,Number;Person;Role,Atr;S,V,3,post,NA
3007,AGR,Number;Person;Role,Atr;S,V,3,post,NA
3007,AGR,Number;Person;Role,P,V,3,post,NA
3007,AGR,Number;Person;Role,Atr;S,V,3,post,NA
3007,AGR,Number;Person;Role,Atr;S,V,3,post,NA
3007,AGR,Person;Role,P,V,3,post,NA
3007,AGR,Number;Person;Role,P;S,V,3,post,NA
3007,AGR,Number;Person;Role,Atr,V,3,post,NA
3007,AGR,Number;Person;Role,Atr;P,V,3,post,NA
3007,AGR,Number;Person;Role,Atr;S,V,3,post,NA
3007,AGR,Number;Person;Role,Atr;S,V,3,post,NA
3007,AGR,Number;Person;Role,Atr;S;P,V,4,post,NA
3007,AGR,Number;Person;Role,S;Atr,V,5,post,NA
3007,AGR,Number;Person;Role,P,V,6,post,NA
3007,AGR,Number;Person;Role,P,V,6,post,NA
563,AGR,Person;Role,Atr;P;S,V,-1,prae,NA
563,AGR,Person;Role,Atr;P;S,V,-1,prae,NA
563,AGR,Person;Role,P;Atr,V,-1,prae,NA
563,DIR,Direction,NA,V,1,post,NA
563,INV,Direction,NA,V,1,post,NA
563,DIR,Direction,Atr;P,V,1,post,NA
563,INV,Direction,P;Atr,V,1,post,NA
563,DIR,Direction,NA,V,2,post,NA
563,AGR,Number;Person;Role,S;Atr;P,V,4,post,NA
563,AGR,Person;Role,P;Atr;S,V,4,post,NA
563,AGR,Gender;Role,Atr;P,V,4,post,NA
563,AGR,Number;Person;Role,P;Atr;S,V,5,post,NA
563,AGR,Number;Person;Role,S;P;Atr,V,7,post,NA
563,AGR,Number;Person;Role,Atr;P;S,V,11,post,NA
563,AGR,Number;Person;Role,P;Atr;S,V,11,post,NA
563,AGR,Number;Person;Role,S;P;Atr,V,11,post,NA
2001,AGR,Person;Role,P;Atr,V,1,post,NA
2001,AGR,Number;Role,S;Atr,V,2,post,NA
2001,AGR,Person;Role,NA,V,3,post,NA
2001,AGR,Number;Person;Role,P,V,3,post,NA
2001,AGR,Number;Person;Role,P,V,3,post,NA
2001,AGR,Person;Role,P,V,3,post,NA
2001,AGR,Person;Role,Atr;S,V,3,post,NA
2001,AGR,Number;Person;Role,Atr,V,4,post,NA
2001,AGR,Number;Person;Role,P;Atr;S,V,4,post,NA
2001,AGR,Number;Person;Role,P;Atr;S,V,4,post,NA
2001,AGR,Number;Person;Role,Atr;S,V,4,post,NA
2001,AGR,Number;Person;Role,Atr;P;S,V,4,post,NA
2001,AGR,Gender;Person;Role,Atr;S;P,V,4,post,NA
2001,AGR,Gender;Role,Atr;S;P,V,4,post,NA
2001,AGR,Number;Person;Role,Atr;P;S,V,5,post,NA
2001,AGR,Number;Person;Role,P;Atr;S,V,5,post,NA
2001,AGR,Gender;Number;Person;Role,Atr;P;S,V,5,post,NA
2668,AGR,Person;Role,P;S;Atr,V,-1,prae,NA
2668,AGR,Person;Role,P;S;Atr,V,-1,prae,NA
2668,AGR,Person;Role,Atr;P,V,-1,prae,NA
2668,DIR,Direction;Role,NA,V,1,post,NA
2668,INV,Direction;Role,NA,V,1,post,NA
2668,DIR,Direction;Role,Atr;P,V,1,post,NA
2668,INV,Direction;Role,P;Atr,V,1,post,NA
2668,AGR,Direction;Role,P,V,1,post,NA
2668,AGR,Person;Role,P;S,V,5,post,NA
2668,AGR,Number;Person;Role,Atr;S;P,V,5,post,NA
2668,AGR,Gender;Role,P,V,5,post,NA
2668,AGR,Number;Person;Role,P;Atr;S,V,6,post,NA
2668,AGR,Number;Person;Role,P;Atr;S,V,6,post,NA
2668,AGR,Number;Person;Role,Atr;P;S,V,7,post,NA
2668,AGR,Number;Person;Role,Atr;P;S,V,7,post,NA
908,AGR,Person;Role,P;Atr;S,V,8,post,NA
1973,DIR,Direction,P;Atr,V,1,post,NA
1973,DIR,Direction,NA,V,1,post,NA
1973,DIR,Direction,NA,V,1,post,NA
1973,DIR,Direction,NA,V,1,post,NA
1973,INV,Direction,NA,V,1,post,NA
1142,AGR,Person;Role,P;Atr;S,V,-1,prae,NA
1142,AGR,Person;Role,P;Atr;S,V,-1,prae,NA
1142,AGR,Person;Role,Atr;P;S,V,-1,prae,NA
1142,INV,Direction,NA,V,1,post,NA
1142,DIR,Direction,Atr;P,V,1,post,NA
1142,INV,Direction,NA,V,1,post,NA
1142,AGR,Person;Role,Atr,V,2,post,NA
1142,AGR,Person;Role,P,V,2,post,NA
1142,AGR,Person;Role,P;S,V,3,post,NA
1142,AGR,Number;Person;Role,S;P;Atr,V,3,post,NA
1142,AGR,Number;Person;Role,S,V,3,post,NA
1142,AGR,Person;Role,P;Atr,V,4,post,NA
1142,AGR,Number;Person;Role,P;Atr,V,5,post,NA
1142,AGR,Number;Person;Role,Atr;P,V,5,post,NA
1142,AGR,Number;Person;Role,P;Atr,V,5,post,NA
1142,AGR,Number;Person;Role,NA,V,5,post,NA
1142,AGR,Gender;Number;Role,P;S,V,6,post,NA
1142,AGR,Person;Role,Atr;P;S,V,6,post,NA
1142,AGR,Number;Person;Role,Atr;P;S,V,6,post,NA
2980,AGR,Number;Person;Role;Tense,P;S,V,1,post,NA
2980,AGR,Number;Person;Role;Tense,P;S,V,1,post,NA
2980,AGR,Number;Person;Role;Tense,Atr,V,1,post,NA
2980,AGR,Person;Role;Tense,P,V,1,post,NA
2980,AGR,Person;Role;Tense,P,V,1,post,NA
2980,AGR,Number;Person;Role;Tense,Atr;P,V,1,post,NA
2980,AGR,Number;Person;Role;Tense,P;Atr,V,1,post,NA
2980,AGR,Number;Person;Role,Atr,V,2,post,NA
2980,AGR,Number;Person;Role,P;Atr;S,V,3,post,NA
2980,AGR,Number;Role,P;Atr;S,V,3,post,NA
2980,AGR,Number;Person;Role,P;Atr;S,V,3,post,NA
2980,AGR,Number;Person;Role,Atr;P;S,V,3,post,NA
2980,AGR,Number;Person;Role,P;Atr;S,V,4,post,NA
2980,AGR,Number;Person;Role,P;Atr;S,V,3,post,NA
2956,AGR,Number;Person;Role,P;Atr;S,V,2,post,NA
2956,AGR,Number;Person;Role,Atr;S;P,V,2,post,NA
2956,AGR,Number;Person;Role,Atr;P,V,2,post,NA
2956,AGR,Number;Person;Role,P,V,2,post,NA
2956,AGR,Number;Person;Role,P,V,3,post,NA
2956,AGR,Number;Person;Role,Atr;S;P,V,3,post,NA
2956,AGR,Number;Person;Role,Atr;P;S,V,3,post,NA
2956,AGR,Number;Person;Role,Atr;S;P,V,3,post,NA
2956,AGR,Number;Person;Role,Atr;S,V,3,post,NA
2956,AGR,Number;Person;Role,Atr;S,V,3,post,NA
2956,AGR,Number;Person;Role,Atr;S,V,3,post,NA
2956,AGR,Number;Person;Role,Atr;S,V,3,post,NA
2956,AGR,Number;Person;Role,Atr;S,V,3,post,NA
2956,AGR,Number;Person;Role,Atr;S,V,3,post,NA
2956,AGR,Number;Person;Role,Atr;S,V,2,post,NA
2956,AGR,Person;Role,P;S;Atr,V,1,post,NA
2956,AGR,Number;Person;Role;Tense,Atr;S,V,1,post,NA
2956,AGR,Number;Person;Role,P,V,3,post,NA
1989,NOM,Role,Atr;P;Aditr;T;G;S,NP; Pro,NA,NA,NA
1989,DAT,Role,G;P,NP; Pro,NA,prae,initial
1989,INSTR,Role,P;T,NP; Pro,NA,prae,initial
502,INSTR,Role,P,NP; Pro,NA,post,final
2954,NOM,Role,G;T;Atr;Aditr;P;S,NP,NA,NA,NA
2954,LOC,Role,G;P,NP,NA,prae,NA
2954,INSTR,Role,P;G,NP,NA,prae,NA
2498,NOM,Role,S;P;Aditr;Atr;T,NP; Pro,NA,NA,NA
2498,DAT,Role,P;G;Atr,NP; Pro,NA,prae,initial
2498,LOC,Role,P;G,NP; Pro,NA,prae,initial
2498,ASSOC,Role,P,NP; Pro,NA,prae,initial
648,REF,Role,P,NP; Pro,NA,post,final
648,BEN,Role,G;Atr,NP; Pro,NA,post,final
648,LOC,Role,G;P,NP; Pro,NA,post,final
648,PP,Role,P,NP; Pro,NA,post,final
1645,NOM,Role,S;Aditr;T;Atr;P,NP; Pro,NA,NA,NA
1645,ACC,Role,T;P;G,NP; Pro,NA,post,final
1645,OBL,Role,P;G,NP; Pro,NA,post,final
643,ACC,,NA,Pro,NA,NA,NA
191,PURP,Role,P,,NA,post,NA
191,LOC,Role,P;G,,NA,post,NA
191,ABL,Role,P,,NA,post,NA
191,SIM,Role,P,,NA,post,NA
3009,NOM,Role,T;P;Atr;Aditr;S,,NA,NA,NA
3009,ACC,Role,T;P,Pro,NA,NA,NA
3009,LOC,Role,P;G,N,NA,post,NA
3009,ABL,Role,G,NP; Pro,NA,post,final
3009,ALL,Role,P,NP; Pro,NA,post,final
738,ALL,Role,NA,,NA,post,final
2210,NOM,Role,Aditr;Atr;S,N; Pro,NA,post,NA
2210,ACC,Role,T;P;G,N; Pro,NA,post,NA
2210,ALL,Role,G;P,N; Pro,NA,post,NA
2210,LOC,Role,P;G,N; Pro,NA,post,NA
2210,INSTR,Role,T;P,N; Pro,NA,post,NA
1176,PP,Role,P;G,N; Pro,NA,post,NA
1176,PP,Role,P;G,N; Pro,NA,post,NA
1176,PP,Role,G;P,N; Pro,NA,post,NA
1176,PP,Role,P,N; Pro,NA,post,NA
1176,PP,Role,P,N; Pro,NA,post,NA
1176,PP,Role,P,N; Pro,NA,post,NA
1176,PP,Role,NA,N; Pro,NA,post,NA
1176,PP,Role,T,N; Pro,NA,post,NA
1176,PP,Role,G,N; Pro,NA,post,NA
1261,NOM,Role,Aditr;Atr;S,NP,NA,post,final
1261,LOC,Role,P;G,NP,NA,post,final
1261,INSTR,Role,G;T;P,NP,NA,post,final
1261,LOC,Role,G,NP,NA,post,final
1261,INESS,Role,P;G,NP,NA,post,final
1261,ACC,Role,P;T;G,,NA,NA,NA
1439,AGR,Number;Person;Role,P;Atr;S,V,2,post,NA
3010,AGR,Number;Person;Role,S;P,V,2,post,NA
3010,AGR,Number;Person;Role,P;S,V,2,post,NA
3010,AGR,Number;Role,Atr;P;S,V,3,post,NA
3010,AGR,Number;Person;Role,P;S,V,3,post,NA
3010,AGR,Number;Person;Role,Atr;P;S,V,3,post,NA
3010,AGR,Person;Role,P,V,4,post,NA
3010,AGR,Number;Person;Role,Atr,V,5,post,NA
3010,AGR,Number;Person;Role,P;Atr;S,V,5,post,NA
3010,AGR,Number;Person;Role,P;Atr,V,6,post,NA
3010,AGR,Number;Person;Role,Atr;P;S,V,7,post,NA
3010,AGR,Number;Person;Role,P;S;Atr,V,7,post,NA
3010,AGR,Number;Person;Role,Atr;P;S,V,7,post,NA
54,AGR,Number;Person;Role,Atr;Aditr;S,V,1,post,NA
54,AGR,Number;Person;Role,Aditr;Atr;S,V,-3,prae,NA
54,AGR,Number;Person;Role,S;Atr;Aditr,V,-3,prae,NA
54,AGR,Number;Person;Role,Aditr;Atr;S,V,-3,prae,NA
54,AGR,Number;Person;Role,P;Atr;S;T,V,-2,prae,NA
54,AGR,Number;Person;Role,S;Atr;P;T,V,-2,prae,NA
54,AGR,Number;Person;Role,P;T;Atr;S,V,-2,prae,NA
54,AGR,Number;Person;Role,P;T;Atr;S,V,-2,prae,NA
54,AGR,Number;Person;Role,G;P;Atr,V,-1,prae,NA
54,AGR,Number;Person;Role,Atr;P;G,V,-1,prae,NA
54,AGR,Number;Person;Role,P;G;Atr,V,-1,prae,NA
54,AGR,Number;Person;Role,P;G;Atr,V,-1,prae,NA
74,AGR,Number;Person;Role,Aditr;Atr;S,V,1,post,final
1896,NOM,Role,S;T;G;Atr;Aditr;P,,NA,NA,NA
1896,POSS,Role,P,Pro,NA,NA,NA
1896,NOM,Role,P,NP,NA,prae,NA
1896,NOM,Role,P;G,NP,NA,prae,NA
1896,NOM,Role,P,NP,NA,prae,NA
28,S/A-AGR,Role,Atr;S;Aditr,V,6,post,NA
28,S/A-AGR,Number;Role,S;Aditr;Atr,V,-3,prae,NA
1348,S/A-AGR,Number;Person;Role,NA,V,NA,post,NA
1348,O-AGR,Number;Role,G;P,V,3,post,NA
1538,ACC,Role,P;T;G,N; Pro,NA,post,NA
1538,NOM,Role,Aditr;S;Atr,,NA,NA,NA
2994,<none>,Role,NA,,NA,NA,NA
3012,NOM,Role,P;T;S;G;Aditr;Atr,,NA,NA,NA
3012,ACC,Role,T;P;S;G,Pro,NA,NA,NA
3012,Preposition,Role,G,NP,NA,prae,initial
3012,Preposition,Role,T;P,NP,NA,prae,initial
3012,Preposition,Role,P;G,NP,NA,prae,initial
3012,S/A-AGR,Number;Person;Role,Atr;S;Aditr,V,NA,prae,initial
373,ACC,Role,T;P,Pro,NA,NA,NA
373,DAT,Role,G,NP,NA,prae,initial
9,O-AGR,Number;Person;Role,NA,VP,NA,post,final
2958,<none>,Role,Aditr;G;P;Atr;S;T,,NA,NA,NA
2958,S/O-AGR,Number;Role,NA,V,2,in,NA
2958,S/A-AGR,Number;Role,NA,V,7,in,NA
2958,S/A-AGR,Number;Role,NA,V,7,in,NA
2958,AGR,Number;Person;Role,NA,V,-1,prae,NA
2958,AGR,Number;Person;Role,NA,V,-1,prae,NA
2958,AGR,Number;Person;Role,NA,V,-1,prae,NA
2958,AGR,Number;Person;Role,NA,V,-1,prae,NA
2958,AGR,Number;Person;Role,NA,V,-1,prae,NA
2958,AGR,Number;Person;Role,NA,V,-1,prae,NA
2958,AGR,Number;Person;Role,NA,V,-1,prae,NA
2958,AGR,Number;Person;Role,NA,V,-1,prae,NA
12,AGR,Number;Person;Role,Atr;S,V,-2,NA,NA
645,S/A-AGR,Number;Person;Role,Atr;S,V,-1,prae,NA
645,S/A-AGR,Number;Person;Role,S;Atr,V,-1,prae,NA
645,S/A-AGR,Number;Person;Role,Atr;S,V,-1,prae,NA
645,S/A-AGR,Number;Person;Role,Atr;S,V,-1,prae,NA
645,S/A-AGR,Number;Person;Role,Atr;S,V,-1,prae,NA
645,S/A-AGR,Number;Person;Role,Atr;S,V,-1,prae,NA
12,AGR,Number;Person;Role,S,V,1,NA,NA
12,AGR,Number;Person;Role,P;Atr;S,V,-2,NA,NA
12,AGR,Number;Person;Role,P;Atr;S,V,-2,prae,NA
12,AGR,Number;Person;Role,P,V,-1,prae,NA
12,AGR,Number;Person;Role,P,V,-1,prae,NA
12,AGR,Number;Person;Role,Atr,V,-2,prae,NA
656,ACC,Role,T;P,Pro,NA,post,NA
656,DAT,Role,G,N; Pro,NA,post,NA
499,S/A-AGR,Number;Person;Role,Atr;S;Aditr,V,NA,prae,NA
499,O-AGR,Number;Person;Role,G;T;P,V,NA,post,NA
21,O-AGR,Number;Person;Role,NA,V,NA,post,NA
21,O-AGR,Number;Person;Role,P,V,2,post,NA
21,O-AGR,Number;Person;Role,P,V,2,post,NA
21,O-AGR,Number;Person;Role,P,V,2,post,NA
21,O-AGR,Number;Person;Role,P,V,2,post,NA
21,O-AGR,Number;Person;Role,P,V,2,post,NA
21,O-AGR,Number;Person;Role,P,V,2,post,NA
21,S/A-AGR,Number;Person;Role,S;Atr;P,V,NA,post,NA
1645,S/A-AGR,Number;Person;Role,Atr;P;S;G;Aditr,V,NA,post,NA
1645,O-AGR,Number;Person;Role,NA,V,NA,prae,NA
1645,O-AGR,Number;Person;Role,G;P,V,-1,prae,NA
1645,O-AGR,Number;Person;Role,P;G,V,-1,prae,NA
1645,O-AGR,Number;Person;Role,G;P,V,-1,prae,NA
1645,O-AGR,Number;Person;Role,P;G,V,-1,prae,NA
1645,O-AGR,Number;Person;Role,P;G,V,-1,prae,NA
1645,O-AGR,Number;Person;Role,P;G,V,-1,prae,NA
1645,O-AGR,Number;Person;Role,P;G,V,-1,prae,NA
1645,O-AGR,Number;Person;Role,G;P,V,-1,prae,NA
1645,O-AGR,Number;Person;Role,P;G,V,-1,prae,NA
429,S/O-AGR,Number;Role,S;P;T;G,V,-1,prae,NA
429,S/O-AGR,Number;Role,Atr;Aditr;S,V,1,post,NA
2054,NOM,Role,P;Atr;S,,NA,NA,NA
3024,DOM,Role,P,NP,NA,NA,NA
3024,NOM,Role,P;Atr;S,,NA,NA,NA
571,NOM,Role,P;Atr;S,,NA,prae,NA
17,ACC,Role,P;T,,NA,post,NA
17,NOM,Person,T;P;Aditr;S;Atr,,NA,NA,NA
23,ACC,Role,P,NP,NA,NA,spreading
91,NOM,Role,NA,,NA,NA,NA
421,NOM,Role,P;G;Aditr;Atr;S,,NA,NA,NA
465,ACC,Role,P;G;T,,NA,NA,NA
654,NOM,Role,Aditr;Atr;T;G;S;P,,NA,NA,NA
45,S/A-AGR,Number;Role,S;Aditr;Atr,V,4,NA,NA
438,S/A-AGR,Number;Person;Role,Atr;Aditr;S,V,NA,prae,NA
632,AGR,Number;Person;Role,S;P;Atr,V,2,post,NA
632,AGR,Number;Person;Role,P,V,3,post,NA
438,LOC,Role,NA,NP,NA,prae,NA
648,AGR,Number;Person,Atr;T;P;S;Aditr,V,NA,prae,NA
648,AGR,Number;Person,T;Atr;S;P,V,-1,prae,NA
648,AGR,Number;Person,Atr;T;P;S,V,-1,prae,NA
648,AGR,Number;Person,S;Atr;P;T,V,-1,prae,NA
648,AGR,Number;Person,NA,V,-1,prae,NA
648,AGR,Number;Person,P;T;Atr;S,V,-1,prae,NA
648,AGR,Number;Person,T;P;S;Atr,V,-1,prae,NA
648,AGR,Number;Person,P;S;Atr;T,V,-1,prae,NA
358,NOM,Role,T;S;P,,NA,NA,NA
358,S/A-AGR,Number;Person;Role,S;Aditr;Atr,V,NA,post,NA
358,DAT,Role,G,NP,NA,post,NA
111,NOM,Role,P;T;Aditr;Atr;S,N; Pro,NA,post,NA
111,DAT,Role,Atr;P;G,N; Pro,NA,post,NA
111,ACC,Role,P;T,N; Pro,NA,post,NA
111,GEN,Role,Atr,N; Pro,NA,post,NA
111,OBL,Role,P;T,,NA,NA,NA
111,ABL,Number;Person;Role,P,N; Pro,NA,post,NA
111,S/A-AGR,Number;Person;Role,S;Atr;Aditr,V,2,post,NA
111,S/A-AGR,Number;Person;Role,Aditr;S;Atr,V,2,post,NA
111,S/A-AGR,Number;Person;Role,Aditr;S;Atr,V,2,post,NA
111,S/A-AGR,Number;Person;Role,Aditr;Atr;S,V,2,post,NA
111,S/A-AGR,Number;Person;Role,Aditr;S;Atr,V,2,post,NA
111,S/A-AGR,Number;Person;Role,NA,V,2,post,NA
387,S/A-AGR,Number;Person;Role,S;Atr;Aditr,V,3,post,NA
387,S/A-AGR,Number;Person;Role,Atr;Aditr;S,V,3,post,NA
387,S/A-AGR,Number;Person;Role,Atr;S;Aditr,V,3,post,NA
387,S/A-AGR,Number;Person;Role,S;Aditr;Atr,V,3,post,NA
387,S/A-AGR,Number;Person;Role,S;Aditr;Atr,V,3,post,NA
2882,S/A-AGR,Number;Person;Role,Atr;S;Aditr,V,1,post,NA
2882,S/A-AGR,Number;Person;Role,Aditr;S;Atr,V,-1,prae,NA
2882,S/A-AGR,Number;Person;Role,Atr;S;Aditr,V,-1,prae,NA
2882,S/A-AGR,Number;Person;Role,Atr;S;Aditr,V,1,post,NA
2882,S/A-AGR,Number;Person;Role,Aditr;S;Atr,V,-1,prae,NA
2882,S/A-AGR,Number;Person;Role,Aditr;S;Atr,V,1,post,NA
2882,O-AGR,Number;Person;Role,T;P;G,V,2,post,NA
2882,O-AGR,Number;Person;Role,T;P;G,V,2,post,NA
2882,G-AGR,Number;Person;Role,G,V,2,post,NA
2882,G-AGR,Number;Person;Role,G,V,2,post,NA
2882,G-AGR,Number;Person;Role,G,V,2,post,NA
2882,G-AGR,Number;Person;Role,G,V,2,post,NA
2882,O-AGR,Number;Person;Role,T;P,V,2,post,NA
2882,O-AGR,Number;Person;Role,P;S;Atr;T,V,2,post,NA
2882,O-AGR,Number;Person;Role,P;T,V,2,post,NA
2882,O-AGR,Number;Person;Role,P;T,V,2,post,NA
502,S/A-AGR,Number;Person;Role,Atr;S;Aditr,V; PRED,3,post,NA
502,S/A-AGR,Number;Person;Role,S;Atr;Aditr,V; PRED,3,post,NA
502,S/A-AGR,Number;Person;Role,S;Atr;Aditr,V; PRED,3,post,NA
502,S/A-AGR,Number;Person;Role,S;Atr;Aditr,V; PRED,3,post,NA
502,S/A-AGR,Number;Person;Role,Aditr;Atr;S,V; PRED,3,post,NA
170,ABS,Role,S;P;T,,NA,NA,NA
170,ERG,Role,Atr;Aditr,N; Pro,NA,NA,NA
170,DAT,Role,G,N; Pro,NA,NA,NA
170,COMIT,Role,NA,N; Pro,NA,NA,NA
170,LOC,Role,NA,N; Pro,NA,NA,NA
170,S/A-AGR,Number;Person;Role,P;G,V-aux,NA,prae,NA
170,O-AGR,Number;Person;Role,S;Atr;Aditr,V-aux,NA,post,NA
1763,NOM,Role,Aditr;Atr;P;S;T,,NA,NA,NA
1763,ACC,Role,T;P,N; Pro,NA,post,NA
1763,DAT,Role,P;S;G;Atr,N; Pro,NA,post,NA
1763,ALL,Role,P,N; Pro,NA,post,NA
1763,ABL,Role,P,N; Pro,NA,post,NA
1763,S/A-AGR,Number;Person;Role,S;Aditr;Atr,V,NA,post,NA
1763,S/A-AGR,Number;Person;Role,Atr;Aditr;S,V,4,post,NA
1763,S/A-AGR,Number;Person;Role,Aditr;S;Atr,V,4,post,NA
1763,S/A-AGR,Number;Person;Role,Aditr;Atr;S,V,4,post,NA
1763,S/A-AGR,Number;Person;Role,Atr;S;Aditr,V,4,post,NA
1763,S/A-AGR,Number;Person;Role,S;Atr;Aditr,V,4,post,NA
424,DAT,Role,G;P,NP,NA,post,spreading
424,ALL,Role,P,NP,NA,post,spreading
424,ABL,Role,P,NP,NA,post,spreading
480,S/A-AGR,Number;Role,Aditr;Atr;S,V,-1,prae,NA
480,S/A-AGR,Number;Role,Aditr;S;Atr,V,-1,prae,NA
1105,AGR,Number;Person;Role,P;S,V,1,post,NA
1105,AGR,Number;Person;Role,P;S,V,1,post,NA
1105,AGR,Number;Person;Role,P;S,V,1,post,NA
1105,AGR,Number;Person;Role,P;S,V,1,post,NA
1105,AGR,Number;Person;Role,P;S,V,1,post,NA
1105,AGR,Number;Person;Role,Atr;S,V,-1,prae,NA
1105,AGR,Number;Person;Role,Atr;S,V,-1,prae,NA
1105,AGR,Number;Person;Role,Atr,V,-1,prae,NA
1105,AGR,Number;Person;Role,S,V,-1,prae,NA
1105,AGR,Number;Person;Role,Atr,V,-1,prae,NA
1105,AGR,Number;Person;Role,S,V,-1,prae,NA
1105,AGR,Number;Person;Role,Atr,V,-1,prae,NA
1105,AGR,Number;Person;Role,S,V,-1,prae,NA
407,S/A-AGR,Number;Person;Role;Tense,Atr;Aditr;G;P;S;T,V,NA,post,NA
407,O-AGR,Number;Role,P,V,1,post,NA
407,ACC,Role,G;P;T,Pro,NA,NA,NA
407,DAT,Role,G,Pro,NA,post,NA
407,LOC,Role,P;G,NP,NA,post,NA
407,LOC,Role,T;P,NP,NA,post,NA
325,GEN/ACC,Role,P,NP,NA,NA,NA
325,NOM,Number;Role,P;S;Atr,NP,NA,NA,NA
325,S/A-AGR,Mood;Number;Person;Role,S;Atr,V,NA,post,NA
100,S/A-AGR,Number;Person;Tense;Voice,Aditr;S;Atr,V,NA,post,NA
345,S/A-AGR,Number;Person;Role,S;Atr;Aditr,V,NA,post,NA
384,CORE,Referential;Role,Atr;P,N_or_Pro,NA,prae,initial
384,O-AGR,Number;Person;Role,P,V,NA,post,NA
