LID,AUTOTYPLabel,Exponence,Roles,HostCat,Slot,Position.binned5,Behavior.binned4
395,possessive word,Number;Person;Role;Sex,NA,,NA,post,NA
403,GEN,Role,NA,N_or_Pro,NA,NA,NA
407,Genitive case,Role;Sex,NA,Pro,NA,NA,NA
407,POSS-AGR,Role;Sex,NA,,NA,prae,NA
407,Possessive prefix,Number;Person,NA,N,NA,prae,NA
415,NA,,NA,,NA,prae,NA
419,NA,,NA,,NA,NA,NA
419,POSS-AGR,,NA,,NA,NA,NA
420,GEN,Role,NA,N_or_Pro,NA,post,NA
16,NA,Role,NA,N_or_Pro,NA,NA,NA
16,NA,,NA,N,NA,post,NA
66,GEN,,NA,N_or_Pro,NA,post,NA
68,DAT,Role,G,N_or_Pro,NA,post,NA
68,NA,Role,NA,,NA,post,NA
71,GEN,Role,NA,N_or_Pro,NA,post,NA
84,GEN,Role,NA,N_or_Pro,NA,post,NA
84,NA,Role,NA,,NA,NA,NA
149,DAT,Role,NA,NP,NA,post,initial
149,POSS-PRO,Number;Person;Role,NA,,NA,post,NA
170,GEN,Role,NA,N,NA,post,NA
173,GEN,Role,NA,N_or_Pro,NA,post,NA
173,Possessive suffix,Gender;Number;Person,NA,,NA,post,NA
173,NA,Number;Person,NA,,NA,post,NA
178,NA,Gender,NA,Pro,NA,prae,NA
178,Possessive word ad head,Number;Person,NA,N,NA,prae,NA
179,Genitive case,Role,NA,N_or_Pro,NA,post,NA
179,Possessive suffix,Person,NA,,NA,post,NA
179,NOM,Role,Atr;Aditr;S,,NA,post,spreading
181,Gender word,Gender,NA,Pro,NA,prae,spreading
181,Possessive prefix,Gender;Number,NA,N_or_Pro,NA,prae,spreading
198,Possessive suffix,Number;Person,NA,N_or_Pro,NA,post,NA
198,NA,,NA,N_or_Pro,NA,prae,NA
210,POSS,Role,NA,N_or_Pro,NA,post,NA
210,NA,Role,NA,,NA,post,spreading
210,NA,Role,NA,,NA,post,spreading
318,Genitive case,Role,NA,N_or_Pro,NA,post,NA
318,NA,Role,NA,,NA,post,spreading
318,NA,Gender,NA,N_or_Pro,NA,NA,NA
318,NA,,NA,,NA,NA,NA
319,NA,,NA,,NA,NA,NA
319,NA,,NA,,NA,post,NA
378,Possessive word ad head,Number;Person;Role,NA,N,NA,prae,NA
390,Genitive case word,,NA,,NA,post,NA
390,Possessive suffix,,NA,,NA,post,NA
390,Possessive prefix,Gender,NA,,NA,prae,NA
391,Genitive case,Role,NA,N_or_Pro,NA,post,NA
400,DAT,Role,NA,N_or_Pro,NA,post,NA
405,Genitive case,Role,NA,Pro; N,NA,NA,NA
405,,Gender,NA,N_or_Pro; Art,NA,prae,NA
405,NA,,NA,,NA,post,NA
405,Possessive prefix,Number;Person,NA,,NA,prae,NA
408,Possessive suffix,Number;Person,NA,,NA,post,NA
408,Genitive case,Role,NA,N_or_Pro,NA,post,NA
408,NA,Role,NA,N,NA,post,NA
424,Genitive case,Role,NA,N_or_Pro,NA,NA,NA
404,GEN,Role,NA,NP,NA,post,spreading
404,NA,,NA,,NA,post,NA
48,LINKER,Construct,NA,,NA,NA,NA
48,GEN,Role,NA,,NA,NA,NA
70,NA,Construct;Person,NA,N_or_Pro,NA,post,NA
70,NA,,NA,N,NA,prae,NA
140,NA,,NA,,NA,NA,NA
140,NA,,NA,,NA,NA,NA
334,NA,Number;Person,NA,N_or_Pro,NA,post,NA
334,Genitive case,Role,NA,N_or_Pro,NA,post,NA
346,POSS-PRO,PossSem;Role,NA,Pro,NA,in,NA
346,NA,PossSem,NA,N,NA,prae,NA
359,NA,,NA,,NA,NA,NA
359,NA,,NA,,NA,NA,NA
21,GEN,Role,NA,N_or_Pro; Nv,NA,prae,initial
21,POSS-AGR,Gender;Number;Person;Referential,NA,N_or_Pro; Adj,NA,post,NA
21,POSS,,NA,,NA,in,NA
23,Construct state,Construct,NA,,NA,in,NA
23,NA,,NA,N,NA,NA,NA
23,NA,,NA,,NA,NA,NA
34,Possessive suffix,Number;Person,NA,,NA,post,NA
34,GEN,Role,NA,N,NA,post,NA
120,NA,,NA,,NA,NA,NA
120,NA,Construct,NA,,NA,NA,NA
65,Possessive prefix,Number;Person,NA,,NA,prae,NA
65,NA,Number;Person,NA,,NA,prae,NA
65,NA,Construct;Number,NA,,NA,post,NA
81,GEN,Role,NA,N_or_Pro,NA,NA,NA
91,NA,,NA,,NA,NA,NA
98,POSS-PRO,Gender;Number;Person;Role,NA,N,NA,post,NA
98,GEN,Gender;Role,NA,NP,NA,prae,NA
98,POSS,Construct;Gender,NA,,NA,post,NA
111,GEN,,NA,Pro,NA,NA,NA
111,LINKER?,Construct,NA,,NA,NA,NA
121,NA,,NA,N,NA,post,NA
121,POSS-PRO,Role,NA,Pro,NA,post,NA
121,Preposition? particle?,,NA,N,NA,prae,NA
123,NA,,NA,,NA,NA,NA
123,NA,,NA,N,NA,NA,NA
147,Possessive suffix,,NA,,NA,post,NA
147,GEN,,NA,N,NA,post,NA
148,NA,Number;Person,NA,N,NA,prae,NA
148,NA,,NA,N,NA,post,NA
159,POSS-ALIEN,PossSem,NA,N,NA,post,NA
159,POSS-AGR,Number;Person;PossSem,NA,N,NA,post,NA
159,POSS,Construct,NA,N,NA,post,NA
163,Genitive case word,,NA,N_or_Pro,NA,post,NA
165,GEN,Gender;Number;Person,NA,NP,NA,post,initial
165,NA,Number;Person,NA,V,NA,NA,NA
167,POSS-PRO,Number;Person;Role,NA,,NA,NA,NA
167,POSS,Gender;Number,NA,NP,NA,post,initial
167,NA,Number;Person,NA,,NA,NA,NA
177,NA,,NA,N_or_Pro,NA,NA,NA
177,NA,,NA,,NA,NA,NA
199,S/A-AGR,Gender;Number;Person,S;Aditr;Atr,S,NA,post,NA
199,GEN,Gender,NA,N,NA,post,NA
207,NA,Role,NA,Pro,NA,NA,NA
207,GEN,Role,NA,N_or_Pro,NA,post,NA
69,GEN,Role,NA,N_or_Pro,NA,NA,NA
69,NA,Role,NA,,NA,NA,NA
323,NA,Gender,NA,N_or_Pro,NA,NA,NA
324,GEN,,NA,N_or_Pro,NA,NA,NA
347,POSS,Number;Person,NA,,NA,post,NA
355,POSS,,NA,Pro,NA,NA,NA
355,GEN,Role,NA,,NA,split,NA
443,GEN,,NA,N_or_Pro,NA,post,NA
373,GEN,,NA,N_or_Pro,NA,NA,NA
421,Construct state,Construct,NA,,NA,NA,NA
325,GEN,Role,NA,N_or_Pro,NA,post,NA
325,POSS-PRO,Role,NA,N_or_Pro,NA,prae,NA
100,POSS-PRO,Gender;Role,NA,,NA,post,NA
100,Genitive case,,NA,N_or_Pro,NA,NA,NA
108,NA,Role,NA,N_or_Pro,NA,NA,NA
108,NA,,NA,,NA,NA,NA
360,NA,Number;Person,NA,N,NA,post,NA
360,Genitive case,Role,NA,N,NA,post,NA
424,NA,Role,NA,,NA,NA,spreading
100,NA,Gender,NA,,NA,NA,NA
32,GEN,Role,NA,N_or_Pro,NA,post,NA
139,Genitive case,Role,NA,N_or_Pro,NA,post,NA
139,Possessive suffix,Number;Person,NA,N,NA,post,NA
12,NA,,NA,N,NA,NA,NA
12,NA,,NA,N,NA,NA,NA
56,GEN,PossSem,NA,N_or_Pro,NA,post,NA
56,PLURAL,Number,NA,,NA,post,spreading
56,GEN,PossSem;Role,NA,N_or_Pro,NA,post,final
56,LOC,Number;Role,P,N_or_Pro,NA,post,NA
433,Initial lenition?  Initial sandhi?,Role,NA,N; V,NA,split,NA
116,NA,,NA,N,NA,NA,NA
118,GEN,Role,NA,NP,NA,post,final
129,Possessive prefix,Person,NA,N,NA,prae,NA
188,Genitive case,Role,NA,N_or_Pro,NA,post,NA
188,POSS-PRO,Number;Person,NA,N_or_Pro,NA,NA,NA
201,Possessive suffix,Number;Person,NA,N,NA,post,NA
201,ALL,,NA,N,NA,post,NA
387,GEN,Role,NA,N_or_Pro,NA,post,NA
387,Possessive suffix,Number;Person,NA,N,NA,post,NA
2797,POSS,Person,NA,N,NA,post,NA
2797,GEN,Role,NA,N,NA,post,NA
205,Possessive suffix,PossClass;Referential,NA,N,NA,post,NA
205,POSS (Rich possessive suffix),Number;Person;PossSem,NA,N,NA,post,NA
205,Genitive case,Role,NA,N,NA,post,NA
39,Possessive suffix,Number;Person,NA,,NA,post,NA
137,NA,Number;Person,NA,N,NA,prae,NA
454,GEN,Role,NA,N_or_Pro,NA,post,NA
454,POSS,Person,NA,N,NA,prae,NA
464,PAST,Number;Person;TAM;Voice,NA,V,NA,post,NA
464,ACC,Number;Role,P;T,N_or_Pro,NA,post,NA
78,PAST,TM,NA,V,NA,post,NA
78,DOM,Number;Role,T;P,,NA,post,NA
74,GEN,Role,NA,Pro,NA,post,final
32,ERG,Role,Aditr;S;Atr,NP,NA,post,final
32,PAST,TAM,NA,V,NA,post,NA
59,PAST,TAM,NA,V,NA,prae,NA
59,OBV,Referential;Role,Atr;S;P,NP,NA,NA,NA
99,PAST,Gender;Number;Role;TAM,NA,V,NA,post,NA
171,PFV,TAM,NA,V,NA,post,NA
340,PAST,TAM,NA,V,NA,post,NA
361,PAST,TAM,NA,V,NA,prae,NA
361,<none>,Role,Atr;P;S,,NA,NA,NA
362,LINKER,Role,NA,N_or_Pro,NA,NA,NA
362,PFV,TAM,NA,V,NA,prae,NA
374,<none>,Role,S;Atr;Aditr;T;P,,NA,NA,NA
374,PAST,TAM,NA,V,NA,prae,NA
118,ACC,Role,P;T,NP,NA,post,final
118,PAST,TAM,NA,V,NA,post,NA
354,<none>,,P;S;Atr,,NA,NA,NA
135,PAST,TAM,NA,,NA,post,NA
135,ACC,Role,P;T,NP,NA,post,final
35,GEN,Role,NA,NP,NA,post,final
35,POSS-AGR,Number;Person;Role,NA,NP,NA,prae,final
465,REALIS,TAM,NA,,NA,NA,NA
465,NOM,Role,S;Aditr;Atr,NP,NA,NA,NA
465,POSS,PossClass,NA,,NA,prae,NA
465,POSS-AGR,Role,NA,,NA,prae,NA
89,FUT,TAM,NA,,NA,NA,NA
89,DAT,Role,NA,,NA,NA,NA
466,<none>,,NA,,NA,NA,NA
466,NOM,,P;Atr;Aditr;S;T,,NA,NA,NA
466,OBL,Role,NA,N_or_Pro,NA,prae,NA
48,FUT,Number;Person;Role;Tense,NA,V,NA,prae,NA
48,NOM,Referential;Role,NA,Pro,NA,NA,NA
79,PAST,Number;Person;Role;TAM,NA,,NA,NA,NA
348,PAST,TAM,NA,,NA,NA,NA
348,ERG,Role,Atr,,NA,NA,NA
354,PFV,TAM,NA,V,NA,prae,NA
354,POSS-AGR,Number;Person;Role,NA,N-inal,NA,prae,NA
354,POSS-ALIEN,Construct;PossSem,NA,,NA,post,NA
354,POSS-INAL,,NA,,NA,post,NA
354,POSS-PRO,Number;Person;Role,NA,N-alien,NA,prae,NA
467,POSS-AGR,Number;Person;Role,NA,,NA,post,NA
467,POSS-CLASS,PossSem,NA,,NA,post,NA
75,POSS,PossSem,NA,,NA,NA,NA
176,Possessive word ad head,Number;Person;Role,NA,,NA,prae,NA
399,Possessive prefix,Number;Person,NA,,NA,prae,NA
399,Genitive case word,,NA,,NA,NA,NA
399,TENSE,TAM,NA,,NA,post,NA
399,DAT,Role,NA,,NA,post,NA
571,Construct state,Role,Atr;S,N,NA,prae,NA
571,NA,Number;Person;Role,NA,Pro,NA,post,NA
571,NA,TAM,NA,V,NA,in,NA
571,NA,Role,NA,,NA,prae,NA
581,PAST,TAM,NA,,NA,NA,NA
581,<none>,,P;S;Atr,,NA,NA,NA
188,DOM,Role,P;T;G,,NA,NA,NA
188,PAST,TAM,NA,,NA,NA,NA
14,TENSE,TAM,NA,,NA,NA,NA
14,NOM,Role,Atr;T;Aditr;G;S;P,,NA,NA,NA
7,PAST,TAM,NA,,NA,NA,NA
7,NOM,Role,S;T;Aditr;Atr;P;G,,NA,NA,NA
421,TENSE,Tense,NA,,NA,prae,NA
421,OBJECT case,Role,G;P,Pro,NA,NA,NA
421,Genitive case,,NA,Pro,NA,NA,NA
10,Possessive prefix,,NA,,NA,prae,NA
10,<none>,Number;Person;TAM,NA,,NA,prae,NA
10,NOM,Role,Atr;S;P,,NA,NA,NA
456,Ezafe,Construct,NA,NP,NA,post,initial
456,TENSE,Tense,NA,,NA,post,NA
456,DOM,Role,P,,NA,post,NA
456,Possessive suffix,Number;Person,NA,Pro,NA,post,NA
512,Construct state,Role,NA,,NA,post,NA
512,Possessive prefix,Number;Person,NA,,NA,prae,NA
512,FUT,Tense,NA,,NA,post,NA
512,<none>,,NA,,NA,NA,NA
89,NOM,,S;Atr;P,,NA,NA,NA
79,ACC,Gender;Number;Person;Role,P;Atr;S,Pro,NA,post,final
128,PAST,Polarity;TAM,NA,,NA,NA,NA
128,GEN,Role,NA,,NA,NA,NA
128,ABL,,NA,,NA,NA,NA
159,NOM,Role,NA,,NA,NA,NA
