LID	Language	Stock	Category	SLOTS	SLOTS.USED	PARTITION	ENTROPY	PROB	CLUST.INDEX
667	Thulung (Mukli)	Sino-Tibetan	Atr	6	5	[4, 2, 1, 1, 1]	2.05881389033	0.0900205761317	0.586634087791
2999	Old Thulung (Mukli)	Sino-Tibetan	P	6	5	[3, 3, 1, 1, 1]	2.11328333429	0.0600137174211	0.52662037037
2360	Camling	Sino-Tibetan	P	6	6	[4, 1, 1, 1, 1, 1]	2.28103611255	0.00900205761317	0.247556584362
1036	Blackfoot	Algic	Atr	7	6	[2, 2, 2, 1, 1, 1]	2.50325833478	0.157368831986	0.0577019050614
908	Athpare	Sino-Tibetan	P	10	7	[3, 1, 1, 1, 1, 1, 1]	2.64160416787	0.0508032	0.2975616
908	Athpare	Sino-Tibetan	Atr	10	6	[2, 2, 2, 1, 1, 1]	2.50325833478	0.190512	0.3483648
674	Limbu	Sino-Tibetan	Atr	12	7	[2, 2, 1, 1, 1, 1, 1]	2.725480557	0.292426215278	0.154722865226
35	Belhare	Sino-Tibetan	P	12	7	[2, 2, 1, 1, 1, 1, 1]	2.725480557	0.292426215278	0.154722865226
35	Belhare	Sino-Tibetan	Atr	12	6	[2, 2, 2, 1, 1, 1]	2.50325833478	0.162459008488	0.512132683899
1750	Kharia	Austroasiatic	Atr	2	1	[10]	0	0.001953125	0.998046875
2956	Kõic	Sino-Tibetan	P	3	3	[5, 4, 1]	1.36096404744	0.128029263832	0.693491845755
2980	Koyi	Sino-Tibetan	Atr	4	4	[5, 3, 1, 1]	1.68547529723	0.0576782226562	0.691337585449
1775	Kulung	Sino-Tibetan	P	5	4	[4, 4, 1, 1]	1.72192809489	0.0193536	0.87435264
667	Thulung (Mukli)	Sino-Tibetan	P	6	5	[4, 3, 1, 1, 1]	2.04643934467	0.0500114311843	0.695659007773
559	Murle	Surmic	Atr	6	3	[6, 3, 1]	1.29546184424	0.00166704770614	0.997275567749
1036	Blackfoot	Algic	P	7	6	[2, 2, 2, 2, 1, 1]	2.52192809489	0.0843047314209	0.104912554657
2863	Puma	Sino-Tibetan	P	8	6	[4, 2, 1, 1, 1, 1]	2.32192809489	0.0591427087784	0.613676011562
2668	Munsee	Algic	Atr	8	5	[3, 2, 2, 2, 1]	2.24643934467	0.0788569450378	0.678732991219
2863	Puma	Sino-Tibetan	Atr	8	5	[4, 3, 1, 1, 1]	2.04643934467	0.0262856483459	0.900321006775
637	Yamphu	Sino-Tibetan	Atr	9	6	[3, 2, 2, 1, 1, 1]	2.44643934467	0.218553231964	0.470669995979
674	Limbu	Sino-Tibetan	P	12	7	[4, 1, 1, 1, 1, 1, 1]	2.52192809489	0.0135382507073	0.669176392104
57	Chuvash	Turkic	Atr	2	2	[6, 5]	0.994030211477	0.451171875	0
679	Udmurt	Uralic	Atr	2	2	[6, 5]	0.994030211477	0.451171875	0
456	Persian	Indo-European	Atr	2	2	[6, 5]	0.994030211477	0.451171875	0
518	Brahui	Dravidian	Atr	2	2	[6, 5]	0.994030211477	0.451171875	0
1414	Tirmaga	Surmic	Atr	5	3	[7, 3, 1]	1.24067053168	0.001622016	0.9972830208
3007	Bahing	Sino-Tibetan	P	6	5	[5, 2, 2, 1, 1]	2.04037339369	0.041259430727	0.76498040822
3010	Lohorung	Sino-Tibetan	P	7	6	[3, 3, 2, 1, 1, 1]	2.41308843643	0.117758989921	0.365052868756
637	Yamphu	Sino-Tibetan	P	9	7	[3, 2, 2, 1, 1, 1, 1]	2.6635327548	0.200340462634	0.250902579394
2865	Wambule	Sino-Tibetan	P	3	3	[9, 2, 1]	1.04085208297	0.00745143863571	0.968687022642
54	Choctaw	Muskogean	Atr	4	4	[4, 4, 3, 1]	1.85538854221	0.0991344451904	0.413610935211
2980	Koyi	Sino-Tibetan	P	4	3	[6, 5, 1]	1.32501121082	0.00793075561523	0.978630065918
2001	Micmac	Algic	P	5	4	[5, 3, 3, 1]	1.82501121082	0.0272498688	0.8500445184
682	Yucatec	Mayan	P	5	2	[6, 6]	1	3.784704e-05	0.99981606912
3007	Bahing	Sino-Tibetan	Atr	6	4	[9, 1, 1, 1]	1.20751874964	3.63839777134e-05	0.999786227593
1660	Itzaj	Mayan	P	7	2	[6, 6]	1	1.40189273716e-06	0.999992786726
2551	Atikamekw	Algic	Atr	7	6	[3, 2, 2, 2, 2, 1]	2.52205520887	0.0757022078065	0.225844919956
1973	Menomini	Algic	P	11	7	[3, 2, 2, 2, 1, 1, 1]	2.68872187554	0.146901246312	0.532656923828
2657	Udihe	Tungusic	Atr	2	2	[7, 6]	0.995727452085	0.4189453125	0
642	Arabic (Egyptian)	Semitic	Atr	3	3	[6, 5, 2]	1.46048468131	0.13561618317	0.531163384082
21	Amharic	Semitic	Atr	5	3	[6, 5, 2]	1.46048468131	0.001771241472	0.993561034752
3044	Gurage (Sebat Bet)	Semitic	Atr	5	3	[6, 4, 3]	1.52623490995	0.00295206912	0.989273505792
2001	Micmac	Algic	Atr	5	5	[7, 3, 1, 1, 1]	1.82302649071	0.00337379328	0.919878795264
1142	Cheyenne	Algic	Atr	7	7	[3, 3, 2, 2, 1, 1, 1]	2.66122625627	0.0937265429986	0.0773243979738
2244	Ojibwa (Eastern)	Algic	Atr	7	5	[4, 3, 2, 2, 2]	2.25775606413	0.0234316357496	0.779127923826
2244	Ojibwa (Eastern)	Algic	P	7	5	[4, 3, 2, 2, 2]	2.25775606413	0.0234316357496	0.779127923826
2551	Atikamekw	Algic	P	7	7	[3, 2, 2, 2, 2, 1, 1]	2.71929452567	0.0702949072489	0.00702949072489
59	Cree (Plains)	Algic	P	8	4	[5, 4, 2, 2]	1.8843135278	0.000825918687042	0.993613392056
2668	Munsee	Algic	P	8	5	[3, 3, 3, 2, 2]	2.29546567918	0.00734149944037	0.860659711179
59	Cree (Plains)	Algic	Atr	8	5	[5, 3, 2, 2, 1]	2.13393756609	0.0132146989927	0.952064875164
563	Passamaquoddy	Algic	Atr	12	6	[3, 3, 3, 2, 1, 1]	2.44931183303	0.00746901948744	0.948074411124
563	Passamaquoddy	Algic	P	12	6	[3, 3, 3, 2, 1, 1]	2.44931183303	0.00746901948744	0.948074411124
2865	Wambule	Sino-Tibetan	Atr	3	3	[10, 2, 2]	1.14883485428	0.00376711619916	0.979450211783
1973	Menomini	Algic	Atr	11	7	[3, 3, 2, 2, 2, 1, 1]	2.69951385032	0.0552397248527	0.719742926095
923	Arapaho	Algic	Atr	5	4	[8, 3, 2, 1]	1.61057724333	0.003542482944	0.984416649216
2029	Moghol	Mongolic	Atr	2	2	[8, 7]	0.996791631982	0.392761230469	0
