session.id	speaker.id	word.id	morphemes	word.transcription	glosses	types	ids	record.id	subcorpus	genre	spkr.age	pref.seq	cat.seq	bigram.type	left	subj.marker	ref.marker	ref.category	sesh.seq	prime.distance	prime.cat.seq	prime.subj.marker	prime.seq	prime.subj	lex.stem
pear_13-1	92	1183663	mai u khatt yokt a kha	maiukhaiʔyaktakha	NEG 3nsS/A take NEG PST NMLZ	prefix prefix stem suffix suffix suffix	1199 1201 1364 2460 1202 1335	pear_13-1.272	adult	Experimental	12544	mai.u	neg.ag	"ag,neg"	FALSE	u	mai	neg	272	16	neg.ag	u	256	right	/khatt/ 'take.away'
pear_13-1	92	1183667	mai yaŋ u khatt yokt e	maiyaŋukhaiʔyokte	NEG ADD 3nsS/A take NEG IND.PST	prefix stem prefix stem suffix suffix	1199 2450 1201 1364 2460 1234	pear_13-1.274	adult	Experimental	12544	mai.u	neg.ag	"ag,neg"	FALSE	u	mai	neg	274	2	neg.ag	u	272	right	/khatt/ 'take.away'
pear_13-1	92	1183479	mai u wat yokt a yakt e	maiuwaiyaktakte	NEG 3nsS/A wear NEG PST IPFV IND.PST	prefix prefix stem suffix suffix suffix suffix	1199 1201 2429 2460 1202 6674 1234	pear_13-1.211	adult	Experimental	12544	mai.u	neg.ag	"ag,neg"	FALSE	u	mai	neg	211	103	neg.ag	u	108	right	/wat/ 'put.on'
warisama_talk	93	1272608	mai yaŋ a chapt yokt e	maiyaŋachapyokte	NEG ADD 2S/A write NEG IND.PST	prefix stem prefix stem suffix suffix	1199 2450 654 73 2460 1234	warisama_talk.346	adult	Conversation	12726	mai.a	neg.ag	"ag,neg"	FALSE	a	mai	neg	346	116	ag.neg	u	230	left	/chapt/ 'write'
phidang_talk	93	1208436	u mai chott yokt a yakt e	umaichoiʔyaktakte	3nsS/A NEG make.trouble NEG PST IPFV IND.PST	prefix prefix stem suffix suffix suffix suffix	1201 1199 885 2460 1202 6674 1234	phidang_talk.435	adult	Conversation	12726	u.mai	ag.neg	"ag,neg"	TRUE	u	mai	neg	435	35	ag.neg	u	400	left	/chott/ 'be.active'
pear_2-1	93	1187136	u kha u copt no	ukhaucopno	3nsS/A 1nseP 3nsS/A look.at IND.NPST	prefix prefix prefix stem suffix	1201 655 1201 947 2330	pear_2-1.0332	adult	Experimental	14510	u.kha	ag.pat	"ag,pat"	TRUE	u	kha	obj	332	Inf	NA	NA	#NAME?	unknown	/copt/ 'see'
community_view	93	1004784	kha u copt	khaucop	1nsP 3nsS/A see	prefix prefix stem	655 1201 947	community_view.419	adult	Conversation	13769	kha.u	pat.ag	"ag,pat"	FALSE	u	kha	obj	419	410	pat.ag	u	9	right	/copt/ 'see'
pahiro_talk	93	1171217	kha u mai khag yokt a ŋs e	khaumaikhaŋyaktaŋseʔ	1nsP 3nsS/A NEG watch NEG PST PRF IND.PST	prefix prefix prefix stem suffix suffix suffix suffix	655 1201 1199 1366 2460 1202 6702 1234	pahiro_talk.033	adult	Conversation	NA	kha.u	pat.ag	"ag,pat"	FALSE	u	kha	obj	33	Inf	NA	NA	#NAME?	unknown	/khag/ 'watch'
pahiro_talk	93	1171217	kha u mai khag yokt a ŋs e	khaumaikhaŋyaktaŋseʔ	1nsP 3nsS/A NEG watch NEG PST PRF IND.PST	prefix prefix prefix stem suffix suffix suffix suffix	655 1201 1199 1366 2460 1202 6702 1234	pahiro_talk.033	adult	Conversation	NA	u.mai	ag.neg	"ag,neg"	TRUE	u	mai	neg	33	Inf	NA	NA	#NAME?	unknown	/khag/ 'watch'
pahiro_talk	93	1174582	ma a khutt e	maakhutte	1nseP 2S/A bring IND.PST	prefix prefix stem suffix	656 654 219 1234	pahiro_talk.837	adult	Conversation	NA	ma.a	pat.ag	"ag,pat"	FALSE	a	ma	obj	837	1	ag.pat	a	836	unknown	/khutt/ 'bring'
phidang_talk	93	1207408	mai u lett yokt a yakt e	maiuleiʔyaktakte	NEG 3nsS/A plant NEG PST IPFV IND.PST	prefix prefix stem suffix suffix suffix suffix	1199 1201 242 2460 1202 6674 1234	phidang_talk.128	adult	Conversation	12726	mai.u	neg.ag	"ag,neg"	FALSE	u	mai	neg	128	4	neg.ag	a	124	right	/lett/ 'plant'
phidang_talk	93	1207397	mai a lett yokt i yakt i hẽ	maaleiʔyaktiyaktihẽ	NEG 2S/A plant NEG 1/2pS/P IPFV 1/2pS/P PST	prefix prefix stem suffix suffix suffix suffix suffix	1199 654 242 2460 1678 6674 1678 1234	phidang_talk.124	adult	Conversation	12726	mai.a	neg.ag	"ag,neg"	FALSE	a	mai	neg	124	1	neg.ag	u	123	right	/lett/ 'plant'
warisama_talk	93	1271972	mai a lett yokt i yakt i hẽ	maialeiʔyaktiyaktihẽ	NEG 2S/A plant NEG 1/2pS/P IPFV 1/2pS/P ePST	prefix prefix stem suffix suffix suffix suffix suffix	1199 654 242 2460 1678 6674 1678 1234	warisama_talk.207	adult	Conversation	12726	mai.a	neg.ag	"ag,neg"	FALSE	a	mai	neg	207	75	ag.neg	u	132	left	/lett/ 'plant'
phidang_talk	93	1207390	u mai lett yokt a yakt e	umaileiʔyaktakte	3nsS/A NEG plant NEG PST IPFV IND.PST	prefix prefix stem suffix suffix suffix suffix	1201 1199 242 2460 1202 6674 1234	phidang_talk.122	adult	Conversation	12726	u.mai	ag.neg	"ag,neg"	TRUE	u	mai	neg	122	114	neg.ag	u	8	right	/lett/ 'plant'
phidang_talk	93	1207389	u mai lett yokt a yakt e	umaileiʔyaktakte	3nsS/A NEG plant NEG PST IPFV IND.PST	prefix prefix stem suffix suffix suffix suffix	1201 1199 242 2460 1202 6674 1234	phidang_talk.122	adult	Conversation	12726	u.mai	ag.neg	"ag,neg"	TRUE	u	mai	neg	122	114	neg.ag	u	8	right	/lett/ 'plant'
community_view	93	1002302	kha u mett e	khaumete	1nsP 3nsS/A make IND.PST	prefix prefix stem suffix	655 1201 292 1234	community_view.009	adult	Conversation	13769	kha.u	pat.ag	"ag,pat"	FALSE	u	kha	obj	9	Inf	NA	NA	#NAME?	unknown	/mett/ 'manipulate'
pahiro_talk	93	1172867	mai a numd yokt e	maianumyokte	NEG 2S/A do NEG IND.PST	prefix prefix stem suffix suffix	1199 654 1781 2460 1234	pahiro_talk.395	adult	Conversation	NA	mai.a	neg.ag	"ag,neg"	FALSE	a	mai	neg	395	8	neg.ag	a	387	right	/numd/ 'do'
warisama_talk	93	1272609	mai yaŋ a ŋed yokt e	maiyaŋaneyokte	NEG ADD 2S/A read NEG IND.PST	prefix stem prefix stem suffix suffix	1199 2450 654 334 2460 1234	warisama_talk.346	adult	Conversation	12726	mai.a	neg.ag	"ag,neg"	FALSE	a	mai	neg	346	116	ag.neg	u	230	left	/ŋed/ 'read'
chintang_now	93	14151	u mai ŋis yokt e	umainiyakte	3nsS/A NEG know NEG IND.PST	prefix prefix stem suffix suffix	1201 1199 335 2460 1234	chintang_now.0718	adult	Conversation	13769	u.mai	ag.neg	"ag,neg"	TRUE	u	mai	neg	718	349	pat.ag	u	369	right	/ŋis/ 'know'
community_view	93	1005224	a mai patt yokt u ŋs e	amaipaiyoktuŋse	2S/A NEG call NEG 3P PRF IND.PST	prefix prefix stem suffix suffix suffix suffix	654 1199 1842 2460 2459 6702 1234	community_view.496	adult	Conversation	13769	a.mai	ag.neg	"ag,neg"	TRUE	a	mai	neg	496	189	ag.neg	a	307	left	/patt/ 'call'
warisama_talk	93	1272073	u mai pekt a yokt a yakt e	umaipekyaktakte	3nsS/A NEG peel.off PST NEG PST IPFV IND.PST	prefix prefix stem suffix suffix suffix suffix suffix	1201 1199 1855 1202 2460 1202 6674 1234	warisama_talk.230	adult	Conversation	12726	u.mai	ag.neg	"ag,neg"	TRUE	u	mai	neg	230	23	neg.ag	a	207	right	/pekt/ 'cut'
pahiro_talk	93	1172783	mai yaŋ a pid yokt a ŋ e	mayaŋapiyoktehẽ	NEG ADD 2S/A give NEG PST 1sS/P IND.PST	prefix stem prefix stem suffix suffix suffix suffix	1199 2450 654 363 2460 1202 2875 1234	pahiro_talk.380	adult	Conversation	NA	mai.a	neg.ag	"ag,neg"	FALSE	a	mai	neg	380	347	pat.ag	u	33	right	/pid/ 'give'
pahiro_talk	93	1172820	mai ta a pid yokt a ŋ e	mataapitoktehẽ	NEG FOC 2S/A give NEG PST 1sS/P IND.PST	prefix stem prefix stem suffix suffix suffix suffix	1199 496 654 363 2460 1202 2875 1234	pahiro_talk.386	adult	Conversation	NA	mai.a	neg.ag	"ag,neg"	FALSE	a	mai	neg	386	6	neg.ag	a	380	right	/pid/ 'give'
pahiro_talk	93	1172824	mai a ta pid yokt a ŋ e	maatapiyoktehẽ	NEG 2S/A FOC give NEG PST 1sS/P IND.PST	prefix prefix stem stem suffix suffix suffix suffix	1199 654 496 363 2460 1202 2875 1234	pahiro_talk.387	adult	Conversation	NA	mai.a	neg.ag	"ag,neg"	FALSE	a	mai	neg	387	1	neg.ag	a	386	right	/pid/ 'give'
phengniba_tale	93	1205402	a mai pid yokt a ŋ e	amaipiyoktehẽ	2S/A NEG give NEG PST 1sS/P IND.PST	prefix prefix stem suffix suffix suffix suffix	654 1199 363 2460 1202 2875 1234	phengniba_tale.324	adult	Narrative	13371	a.mai	ag.neg	"ag,neg"	TRUE	a	mai	neg	324	Inf	NA	NA	#NAME?	unknown	/pid/ 'give'
phengniba_tale	93	1205413	a mai pid yokt a ŋ e	amaipiyoktehẽ	2S/A NEG give NEG PST 1sS/P IND.PST	prefix prefix stem suffix suffix suffix suffix	654 1199 363 2460 1202 2875 1234	phengniba_tale.326	adult	Narrative	13371	a.mai	ag.neg	"ag,neg"	TRUE	a	mai	neg	326	2	ag.neg	a	324	left	/pid/ 'give'
pahiro_talk	93	1174541	kha u mai pid yokt a ŋs e	khaumaipiyoktaŋseʔ	1nsP 3nsS/A NEG give NEG PST PRF IND.PST	prefix prefix prefix stem suffix suffix suffix suffix	655 1201 1199 363 2460 1202 6702 1234	pahiro_talk.824	adult	Conversation	NA	kha.u	pat.ag	"ag,pat"	FALSE	u	kha	obj	824	67	pat.ag	a	757	right	/pid/ 'give'
pahiro_talk	93	1173451	kha u pid	khaupi	1nsP 3nsS/A give	prefix prefix stem	655 1201 363	pahiro_talk.533	adult	Conversation	NA	kha.u	pat.ag	"ag,pat"	FALSE	u	kha	obj	533	3	pat.ag	u	530	right	/pid/ 'give'
pahiro_talk	93	1173437	kha yaŋ u pid	khayaŋupi	1nsP ADD 3nsS/A give	prefix stem prefix stem	655 2450 1201 363	pahiro_talk.530	adult	Conversation	NA	kha.u	pat.ag	"ag,pat"	FALSE	u	kha	obj	530	497	pat.ag	u	33	right	/pid/ 'give'
chintang_famous	93	9797	kha a pid	khaapi	1nsP 2S/A give	prefix prefix stem	655 654 363	chintang_famous.080	adult	Conversation	NA	kha.a	pat.ag	"ag,pat"	FALSE	a	kha	obj	80	72	pat.ag	a	8	right	/pid/ 'give'
pahiro_talk	93	1174545	kha a pid a tha a ŋs e	khaapidathiyaŋseʔ	1nsP 2S/A give PST TEL PST PRF IND.PST	prefix prefix stem suffix suffix suffix suffix suffix	655 654 363 1202 6705 1202 6702 1234	pahiro_talk.826	adult	Conversation	NA	kha.a	pat.ag	"ag,pat"	FALSE	a	kha	obj	826	1	pat.ag	u	825	right	/pid/ 'give'
pahiro_talk	93	1174569	kha a pid a tha e	khaapidathiyeʔ	1nsP 2S/A give PST TEL IND.PST	prefix prefix stem suffix suffix suffix	655 654 363 1202 6705 1234	pahiro_talk.831	adult	Conversation	NA	kha.a	pat.ag	"ag,pat"	FALSE	a	kha	obj	831	5	pat.ag	a	826	right	/pid/ 'give'
chintang_famous	93	9799	kha a pid a dhend a	khaapidanda	1nsP 2S/A give IMP COMPL IMP	prefix prefix stem suffix suffix suffix	655 654 363 1236 6697 1236	chintang_famous.083	adult	Conversation	NA	kha.a	pat.ag	"ag,pat"	FALSE	a	kha	obj	83	3	pat.ag	a	80	right	/pid/ 'give'
pahiro_talk	93	1174243	kha a pid i kV	khaapidiki	1nsP 2S/A give 1/2pS/P IND.NPST	prefix prefix stem suffix suffix	655 654 363 1678 1682	pahiro_talk.746	adult	Conversation	NA	kha.a	pat.ag	"ag,pat"	FALSE	a	kha	obj	746	213	pat.ag	u	533	right	/pid/ 'give'
chintang_famous	93	9545	kha a pid no	khaapino	1nsP 2S/A give IND.NPST	prefix prefix stem suffix	655 654 363 2330	chintang_famous.002	adult	Conversation	NA	kha.a	pat.ag	"ag,pat"	FALSE	a	kha	obj	2	Inf	NA	NA	#NAME?	unknown	/pid/ 'give'
pahiro_talk	93	1174287	kha a pid no	khaapino	1nsP 2S/A give IND.NPST	prefix prefix stem suffix	655 654 363 2330	pahiro_talk.757	adult	Conversation	NA	kha.a	pat.ag	"ag,pat"	FALSE	a	kha	obj	757	11	pat.ag	a	746	right	/pid/ 'give'
chintang_famous	93	9565	kha a pid na tha no	khaapinathanoʔ	1nsP 2S/A give LNK TEL IND.NPST	prefix prefix stem suffix suffix suffix	655 654 363 6365 6705 2330	chintang_famous.008	adult	Conversation	NA	kha.a	pat.ag	"ag,pat"	FALSE	a	kha	obj	8	6	pat.ag	a	2	right	/pid/ 'give'
pahiro_talk	93	1174617	ma a pid na tha no kha	maapinathanokha	1nseP 2S/A give LNK TEL IND.NPST NMLZ	prefix prefix stem suffix suffix suffix suffix	656 654 363 6365 6705 2330 1335	pahiro_talk.852	adult	Conversation	NA	ma.a	pat.ag	"ag,pat"	FALSE	a	ma	obj	852	15	pat.ag	a	837	right	/pid/ 'give'
pahiro_talk	93	1174541	kha u mai pid yokt a ŋs e	khaumaipiyoktaŋseʔ	1nsP 3nsS/A NEG give NEG PST PRF IND.PST	prefix prefix prefix stem suffix suffix suffix suffix	655 1201 1199 363 2460 1202 6702 1234	pahiro_talk.824	adult	Conversation	NA	u.mai	ag.neg	"ag,neg"	TRUE	u	mai	neg	824	429	neg.ag	a	395	right	/pid/ 'give'
warisama_talk	93	1271629	u mai pok yokt a yakt e	umaipokyaktakte	3nsS/A NEG stand.up NEG PST IPFV IND.PST	prefix prefix stem suffix suffix suffix suffix	1201 1199 365 2460 1202 6674 1234	warisama_talk.132	adult	Conversation	12726	u.mai	ag.neg	"ag,neg"	TRUE	u	mai	neg	132	Inf	NA	NA	#NAME?	unknown	/pok/ 'stand.up'
chintang_now	93	14160	u mai tok yokt e	umaitoyakte	3nsS/A NEG get.the.chance.to NEG IND.PST	prefix prefix stem suffix suffix	1201 1199 524 2460 1234	chintang_now.0722	adult	Conversation	13769	u.mai	ag.neg	"ag,neg"	TRUE	u	mai	neg	722	4	ag.neg	u	718	left	/tok/ 'get.to'
